Date,Open,High,Low,Close,Adj Close,Volume
2021-11-08,301.489990,311.000000,299.070007,308.040009,307.578125,50310100
2021-11-09,322.820007,323.100006,299.640015,306.570007,306.110321,64674600
2021-11-10,293.559998,308.500000,287.779999,294.589996,294.148285,63620600
2021-11-11,304.679993,305.899994,297.769989,303.899994,303.444305,33217200
2021-11-12,300.100006,306.799988,296.299988,303.899994,303.444305,41305400
2021-11-15,305.519989,306.440002,292.470001,300.250000,299.799744,38490900
2021-11-16,297.589996,303.899994,297.059998,302.029999,301.577057,26448400
2021-11-17,304.179993,305.089996,288.000000,292.609985,292.171173,42850800
2021-11-18,323.670013,327.600006,313.209991,316.750000,316.274994,78171100
2021-11-19,322.429993,330.880005,319.049988,329.850006,329.355377,53386700
2021-11-22,335.170013,346.470001,319.000000,319.559998,319.080811,75433500
2021-11-23,315.350006,323.600006,308.799988,317.459991,316.983917,53216300
2021-11-24,314.609985,328.549988,309.279999,326.739990,326.250000,43516200
2021-11-26,326.000000,327.100006,313.500000,315.029999,314.557587,28306900
2021-11-29,323.660004,334.119995,320.359985,333.760010,333.259491,45496400
2021-11-30,331.690002,333.529999,318.640015,326.760010,326.270020,62206600
2021-12-01,332.190002,332.890015,313.799988,314.350006,313.917084,48436800
2021-12-02,312.140015,324.779999,310.250000,321.260010,320.817535,47289000
2021-12-03,320.000000,321.290009,301.299988,306.929993,306.507263,54432500
2021-12-06,298.799988,302.410004,280.380005,300.369995,299.956268,65893800
2021-12-07,309.570007,324.489990,306.510010,324.269989,323.823364,59305300
2021-12-08,319.989990,322.899994,314.209991,318.260010,317.821655,47555100
2021-12-09,317.339996,322.049988,304.279999,304.899994,304.480042,48850700
2021-12-10,311.500000,313.049988,298.609985,301.980011,301.564056,48882500
2021-12-13,302.489990,302.940002,281.160004,281.609985,281.222137,59834400
2021-12-14,276.989990,286.779999,272.500000,283.369995,282.979675,66703500
2021-12-15,284.000000,305.000000,278.380005,304.589996,304.170502,69829700
2021-12-16,311.519989,311.600006,280.929993,283.869995,283.479004,70736600
2021-12-17,279.850006,289.220001,277.600006,278.010010,277.627136,71375800
2021-12-20,273.049988,281.440002,271.450012,277.190002,276.808228,46184700
2021-12-21,283.739990,291.200012,274.010010,290.750000,290.349579,52438500
2021-12-22,288.910004,295.549988,284.489990,294.000000,293.595093,39518400
2021-12-23,297.549988,300.589996,294.309998,296.399994,295.991699,34302200
2021-12-27,296.600006,310.869995,296.399994,309.450012,309.023834,40368600
2021-12-28,313.119995,313.299988,300.119995,303.220001,302.802368,42059100
2021-12-29,302.730011,305.480011,293.660004,300.010010,299.596771,34313900
2021-12-30,298.269989,304.570007,295.399994,295.859985,295.452484,30886400
2021-12-31,296.739990,300.299988,293.309998,294.109985,293.704865,26653000
2022-01-03,298.149994,307.109985,297.850006,301.209991,300.795135,39154700
2022-01-04,302.769989,304.679993,283.489990,292.899994,292.496582,52715400
2022-01-05,289.489990,294.160004,275.329987,276.040009,275.659821,49806400
2022-01-06,276.399994,284.380005,270.649994,281.779999,281.391907,45418600
